date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_MH,snap_KA,snap_TN
2018-01-06,1801,Saturday,1,1,2018,d_1,,,,,1,0,0
2018-01-07,1801,Sunday,2,1,2018,d_2,,,,,1,0,0
2018-01-08,1802,Monday,3,1,2018,d_3,,,,,1,1,0
2018-01-09,1802,Tuesday,4,1,2018,d_4,,,,,1,1,0
2018-01-10,1802,Wednesday,5,1,2018,d_5,,,,,1,1,0
2018-01-11,1802,Thursday,6,1,2018,d_6,,,,,0,1,0
2018-01-12,1802,Friday,7,1,2018,d_7,,,,,0,1,0
2018-01-13,1802,Saturday,1,1,2018,d_8,,,,,0,1,0
2018-01-14,1802,Sunday,2,1,2018,d_9,Pongal,Cultural,,,0,1,0
2018-01-15,1803,Monday,3,1,2018,d_10,,,,,0,1,1
2018-01-16,1803,Tuesday,4,1,2018,d_11,,,,,0,1,1
2018-01-17,1803,Wednesday,5,1,2018,d_12,,,,,0,1,1
2018-01-18,1803,Thursday,6,1,2018,d_13,,,,,0,0,1
2018-01-19,1803,Friday,7,1,2018,d_14,,,,,0,0,1
2018-01-20,1803,Saturday,1,1,2018,d_15,,,,,0,0,1
2018-01-21,1803,Sunday,2,1,2018,d_16,,,,,0,0,1
2018-01-22,1804,Monday,3,1,2018,d_17,,,,,0,0,1
2018-01-23,1804,Tuesday,4,1,2018,d_18,,,,,0,0,1
2018-01-24,1804,Wednesday,5,1,2018,d_19,,,,,0,0,1
2018-01-25,1804,Thursday,6,1,2018,d_20,,,,,0,0,0
2018-01-26,1804,Friday,7,1,2018,d_21,Republic_Day,National,,,0,0,0
2018-01-27,1804,Saturday,1,1,2018,d_22,,,,,0,0,0
2018-01-28,1804,Sunday,2,1,2018,d_23,,,,,0,0,0
2018-01-29,1805,Monday,3,1,2018,d_24,,,,,0,0,0
2018-01-30,1805,Tuesday,4,1,2018,d_25,,,,,0,0,0
2018-01-31,1805,Wednesday,5,1,2018,d_26,,,,,0,0,0
2018-02-01,1805,Thursday,6,2,2018,d_27,,,,,1,0,0
2018-02-02,1805,Friday,7,2,2018,d_28,,,,,1,0,0
